
2024-04-14 18:41:56,558 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:42:35,258 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:42:59,744 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:43:56,773 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:45:21,476 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:50:26,115 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:50:31,168 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:52:00,256 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:53:25,983 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:56:30,750 - ERROR - Empty DataFrame: No data to process.
2024-04-15 00:11:29,041 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 228.6700581395349, End mean: 0.0008922480444952364
2024-04-15 00:11:49,102 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 93.5868290226634, End mean: 0.6148048813750104
2024-04-15 00:11:49,124 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 143817.07317073172, End mean: 0.05005495936980816
2024-04-15 00:11:50,404 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 2.6049000024795532, End mean: 0.01959999954948816
2024-04-15 00:11:55,531 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 39.95762711864407, End mean: 0.548220350896403
2024-04-15 00:11:55,564 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 267.5592220269361, End mean: 2.1197087394381033
2024-04-15 00:11:57,122 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 318.239998953683, End mean: 0.4731571423155921
2024-04-15 00:11:58,960 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 9.716200002034505, End mean: 0.004999999888241199
2024-04-15 00:12:15,831 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 527.8260869565217, End mean: 0.21115942061811255
2024-04-15 00:12:17,441 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 108.48507981073288, End mean: 3.1728571558755543
2024-04-15 00:12:17,472 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 166376817.58208954, End mean: 0.00018358209403664648
2024-04-15 00:12:17,555 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 9.933181762695312, End mean: 0.4677272682840174
2024-04-15 00:12:18,856 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 381.5820895522388, End mean: 3.8561194103155563
2024-04-15 00:12:18,884 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 3197.5090886896305, End mean: 0.6599090912125327
2024-04-15 00:12:24,786 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 62.659763196619544, End mean: 9.999999747378752e-06
2024-04-15 00:12:37,906 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 230.88620573898842, End mean: 6.312758593723692
2024-04-15 00:12:42,759 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 0.3000000119209289, End mean: 0.004859452068882186
2024-04-15 00:12:50,811 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 52530.575539568345, End mean: 59.614747959932835
2024-04-15 00:12:50,834 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 1083.5940594059407, End mean: 6.942574264979599
2024-04-15 00:12:50,853 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 6963.59423828125, End mean: 0.0010650000069290012
2024-04-15 00:12:50,882 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 5804.705882352941, End mean: 0.6858772921211579
2024-04-15 00:12:51,251 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 3.8043350480560565, End mean: 0.001913675208054619
2024-04-15 00:12:55,137 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 98.60411789838005, End mean: 2.842941200031954
2024-04-15 00:13:04,867 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 410000000.0, End mean: 9.078783765032485
2024-04-15 00:13:04,914 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 272261.4792640187, End mean: 9.999999747378752e-06
2024-04-15 00:13:04,950 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 612.1799987792969, End mean: 0.5659000009298325
2024-04-15 00:13:06,134 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 0.7749999761581421, End mean: 0.00037791045624133135
2024-04-15 00:13:07,277 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 254.2663043478261, End mean: 0.33753623295089474
2024-04-15 00:13:07,305 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 61.607142857142854, End mean: 0.5043035660471235
2024-04-15 00:13:19,269 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 9.229545506564053, End mean: 0.3791363618590615
2024-04-15 00:13:23,744 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 2034.5245309930099, End mean: 0.00013105263225089177
2024-04-15 00:13:23,771 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 631.4705882352941, End mean: 0.0003694117719800176
